price_sq,price,state,county,Risk_1_Type,Risk_1_Score,Risk_2_Type,Risk_2_Score,Risk_3_Type,Risk_3_Score,risk_score,risk_ratng,income,white_pct,black_pct,asian_pct,hispanic_pct,ed_pct,tax_paid_2022,tax_trend,unemp_rate,pop_density
195,375565.9819545176,MN,Scott,SWND,99.1091314,HAIL,95.41839007,HWAV,95.06840598,83.04167992,Relatively Moderate,81213.0,0.7661268949432842,0.0539131241386621,0.0658525919643803,0.0596840877769532,42.2696995319,4039.0,7.5,2.8,405.5396683218593
191,357032.7633645811,MN,Sherburne,ISTM,93.40439707,HAIL,90.77314668,WFIR,90.74132994,64.49252307,Relatively Low,59643.0,0.8721792906166717,0.0375374293857979,0.0131401582581315,0.0290174207423109,25.8543528109,3161.0,11.8,4.1,213.23372508151832
108,234683.35310140808,MN,Sibley,LNDS,94.47478317,HAIL,83.35984728,DRGT,79.73273942,35.0302259,Very Low,60166.0,0.8723375572930709,0.0054596926395254,0.0048530601240226,0.0886357508762469,17.0011578541,2195.0,13.3,4.6,24.4374207367214
150,283563.2525772544,MN,Stearns,CWAV,95.73655743,WNTW,95.19567292,LTNG,94.91634492,81.10085905,Relatively Low,63053.0,0.8166931999090289,0.0835418088090364,0.0199567887195815,0.0439125161094685,28.6934961682,2470.0,8.4,3.3,112.64497538668829
156,247443.47683507996,MN,Steele,SWND,96.50015908,HAIL,93.98663697,DRGT,84.18708241,71.20585428,Relatively Low,58222.0,0.8387959150938352,0.0363310698818371,0.0088221140993423,0.0839437523391969,27.9393072768,2685.0,10.2,3.5,85.64163626753624
114,170656.8514923601,MN,Stevens,CWAV,84.88705059,HAIL,72.73305759,WNTW,63.18803691,14.66751511,Very Low,57718.0,0.8368317650708303,0.0086857615551649,0.0070313307827525,0.1019542963499121,28.2852702469,1491.0,2.1,2.8,16.641000865552492
94,135216.90199823966,MN,Swift,DRGT,85.14158447,CWAV,83.35984728,WFIR,64.33343939,18.99459115,Very Low,69348.0,0.8759910550924985,0.0080300874161414,0.0079284407399878,0.0672900996137426,20.8937728938,1169.0,10.0,3.7,12.949713565268539
126,220363.79831064836,MN,Todd,WFIR,82.18262806,CWAV,81.73719376,WNTW,74.86477887,27.33057588,Very Low,62276.0,0.8755047106325706,0.003760589026997,0.0038397593223022,0.0874040060169424,14.5579092793,1743.0,10.1,4.6,25.521475925539757
154,274517.89276708843,MN,Wabasha,SWND,87.87782374,RFLD,78.0146357,LNDS,73.69097334,49.02958956,Relatively Low,62412.0,0.9314536868190956,0.0056576424931032,0.0045354654696778,0.0331042221910506,26.7774819817,2502.0,8.2,3.7,38.51815759632225
122,198259.9096866844,MN,Wadena,WFIR,78.20553611,DRGT,70.21953548,WNTW,67.2923958,16.19471842,Very Low,49621.0,0.9274084607180946,0.0083896196231781,0.0038393174546747,0.0194098826875222,16.7005891805,1710.0,7.5,6.4,25.609270782559825
117,224400.9680871284,MN,Waseca,DRGT,89.37321031,SWND,85.04613427,HAIL,78.74642062,34.10754057,Very Low,60130.0,0.8718894981020666,0.0177140447068747,0.0058519611978068,0.0670075917334458,22.4688355123,2350.0,16.9,5.2,43.34558834171824
196,382219.58470638207,MN,Washington,SWND,98.91823099,ISTM,97.23517655,HWAV,97.231944,86.76423799,Relatively Moderate,84018.0,0.778407731866292,0.0515719368534353,0.0692534234288106,0.048937092626921,47.1206030151,3811.0,8.3,2.6,625.6220176093597
90,158284.66185067347,MN,Watonwan,WNTW,93.00031817,DRGT,90.83678015,CWAV,81.80082724,36.58924594,Very Low,55976.0,0.6832844574780058,0.0037323380431884,0.0076424064693859,0.2867679729849818,18.8101833531,1348.0,8.5,3.7,25.334914694296092
153,245115.81552354587,MN,Winona,LNDS,95.53485384,RFLD,88.41870824,WNTW,84.85523385,60.3245307,Relatively Low,58318.0,0.8894123331521411,0.0179581647238831,0.0187835960620885,0.0380302389724386,31.8404907975,1929.0,6.5,2.5,76.49678123480358
196,346482.4910522395,MN,Wright,SWND,98.34552975,ISTM,96.16922052,HAIL,96.11835826,79.92363983,Relatively Low,65241.0,0.8917056397121773,0.0184311256075903,0.0132803158408626,0.0332326283987915,31.8615291329,3145.0,11.6,3.8,195.86680427158547
92,145160.31381947958,MN,Yellow Medicine,DRGT,89.50047725,CWAV,78.68278715,HAIL,71.87400573,24.65797009,Very Low,71912.0,0.8824517212426533,0.0050377833753148,0.0029387069689336,0.0470193115029387,18.154583583,1480.0,8.4,3.6,12.35905290759512
112,170741.49135908857,MO,Adair,HWAV,90.67769647,LTNG,83.01158301,TRND,79.60547248,51.54311168,Relatively Low,40269.0,0.8528877301098207,0.0499723473176898,0.0270601248321087,0.0261120328671881,32.9827636576,1156.0,5.9,4.0,43.9494205075055
120,243980.255140398,MO,Andrew,DRGT,91.28221444,HAIL,89.34139357,HWAV,81.19630926,49.79319122,Relatively Low,54504.0,0.9239591949269368,0.0076095947063689,0.0049076371657016,0.0215605183347118,27.2749061277,1428.0,7.1,2.7,41.027898550162796
121,164195.66765038003,MO,Audrain,HWAV,91.1549475,CWAV,89.59592746,ISTM,80.14656895,43.49347757,Very Low,49114.0,0.8593061453409182,0.0522394038939187,0.0045669417514622,0.0292845124589375,15.1386660555,1060.0,10.1,3.6,35.40207624371404
150,222476.7721801969,MO,Barry,SWND,95.51384028,RFLD,93.50938594,CWAV,90.90041362,77.95100223,Relatively Low,45250.0,0.8124746626513002,0.0029536109341518,0.0233972317136734,0.0965135808189031,14.9111649091,976.0,4.9,3.4,43.12772167841447
115,159426.1213630991,MO,Barton,ISTM,94.03730846,SWND,85.58701877,HWAV,83.29621381,53.13394846,Relatively Low,46659.0,0.8908653433015382,0.0023201856148491,0.0031795136203488,0.022858124946292,19.5094621514,917.0,-0.3,3.4,19.250223159369177
124,219429.7758719496,MO,Bates,HAIL,91.63219854,WNTW,86.98695514,CWAV,80.49634108,43.11167674,Very Low,51168.0,0.9225158957735944,0.009662136890662,0.0029921456177533,0.0208826829572372,13.9848128729,933.0,1.9,3.5,18.612168339419153
170,228803.95179402232,MO,Benton,HWAV,93.4775692,WFIR,75.40566338,CWAV,75.27839644,56.37925549,Relatively Low,46819.0,0.9247189852531712,0.0038671754150768,0.0026296792822522,0.0159843250489842,14.2761707529,898.0,10.6,4.6,25.440487256419086
112,189106.04220189236,MO,Bollinger,WNTW,86.00063633,ERQK,83.90073178,RFLD,76.96468342,52.78396437,Relatively Low,48705.0,0.9332828617393774,0.0033121983533642,0.0018926847733509,0.0144790385161351,11.9155549799,797.0,5.7,3.0,16.824737382591323
175,260157.78897317927,MO,Boone,ISTM,99.80013324,HWAV,97.77282851,TRND,93.82755329,86.82787146,Relatively Moderate,60158.0,0.7503458417297533,0.0973912096291051,0.0423288491912205,0.0438538205980066,48.5056309558,2181.0,12.2,2.5,262.72148665378523
119,180295.62425643555,MO,Buchanan,WNTW,94.33662106,TRND,90.77314668,HWAV,83.13713013,69.39230035,Relatively Low,51741.0,0.8065642211031571,0.0507471135589022,0.0123595108086752,0.0660431875272723,22.1349050426,1215.0,7.1,3.2,202.04420688951078
95,164416.35073467589,MO,Butler,WNTW,98.82278078,HWAV,95.99109131,ERQK,95.51384028,86.98695514,Relatively Moderate,46048.0,0.8484452883930691,0.0584619036316164,0.0072157607405649,0.0213861856159506,13.1063480669,881.0,7.2,6.2,59.550947568033074
98,216010.6703362179,MO,Caldwell,DRGT,67.64237989,HWAV,59.02004454,CWAV,57.07922367,9.067769647,Very Low,47876.0,0.927056154282473,0.0073737946681792,0.0029495178672716,0.0171298922291548,14.9492259031,1095.0,8.4,3.2,20.215517039565412
150,229804.18400942083,MO,Callaway,ISTM,96.50233178,HWAV,95.03658925,CWAV,83.67801464,60.67451479,Relatively Low,50652.0,0.8683467696407199,0.0438768827766863,0.0050132104870943,0.0217916581984057,24.0231312075,1484.0,10.8,3.0,51.611336753506585
