,population_density,risk_score,income,white_pct,black_pct,asian_pct,hispanic_pct,ed_pct,tax_paid_2022,tax_trend,unemployment_rate,price
2238,39.22537119750188,72.70124085,49380.0,0.7582861308956312,0.0616622735685042,0.0040659525545398,0.1182771577589591,18.6319714526,2122.0,12.7,4.1,250816.23031231607
2239,25.17798624823074,53.22939866,72230.0,0.6974012686719869,0.0565991405770411,0.0027419684878248,0.213464293022304,23.040446304,2628.0,8.8,3.4,366738.2242950772
2240,919.9204200981691,99.07731467,73855.0,0.2962229225587916,0.2041423030971864,0.2206206040747272,0.2413527812450245,48.0624084496,6787.0,6.0,4.0,288312.78420722653
2241,34.71107687710396,39.80273624,56987.0,0.7603050487498794,0.0380345593203977,0.0065643401872767,0.140457573124819,29.1608391608,2072.0,3.6,3.5,342284.1832383541
2242,21.513944073560978,37.73464843,47097.0,0.6594803190120916,0.1409827630563416,0.0033959351685104,0.1623359917674298,15.9635284753,1517.0,2.9,5.1,214984.39931211615
2243,15.984473665873752,41.96627426,41270.0,0.1660592874626054,0.0383464781071525,0.0108240413380473,0.7707914060375306,8.8972746331,1676.0,8.1,3.2,192599.47297392535
2244,14.209275451251857,74.7056952,56478.0,0.5812575238448004,0.0111584405963515,0.0033336420038892,0.388971201037133,10.7305936073,2677.0,16.2,2.8,229494.1668632508
2245,397.046822205748,99.52274897,64574.0,0.5456738583674098,0.1229604028721177,0.0347950564899253,0.2527532066088365,33.2324136366,3992.0,7.4,4.3,294465.8475910895
2246,24.884477245955626,58.03372574,93310.0,0.744022450888681,0.0031431244153414,0.0047521047708138,0.2157530402245089,35.2266325224,4117.0,11.0,2.6,539602.6348834881
2247,8.072190385445358,50.33407572,62484.0,0.605533371363377,0.0335139760410724,0.0034227039361095,0.3262977752424415,18.1477832512,1677.0,15.1,3.9,289077.72776775976
2248,18.132530037422047,88.00509068,64553.0,0.4151529028647026,0.0546990281381977,0.0032056174629827,0.5035872385895284,13.5731039875,1977.0,23.2,3.4,245111.3426884624
2249,22.600034939728587,67.38784601,53508.0,0.6136053139869034,0.0393366938333254,0.0059829462477033,0.2990059829462477,14.6400226757,1375.0,9.7,4.2,131696.15898288137
2250,136.94613822273575,83.48711422,55946.0,0.702441291693411,0.0549493518661974,0.0144456002892071,0.1539585223877293,21.7557589424,2617.0,11.3,3.8,270394.2386564801
2251,445.69793809498464,88.64142539,59997.0,0.5477346082953019,0.2010157840935616,0.0129910897544249,0.1934980159209266,21.1899021947,2171.0,7.2,4.1,232723.35955128225
2252,36.066716374727534,68.24689787,44487.0,0.577764110974443,0.1306546398797321,0.0034850348503485,0.251503348366817,17.5816504612,2463.0,8.8,4.6,330242.8464929271
2253,238.94871344977113,90.20044543,58644.0,0.4867404722476347,0.0691753615971651,0.0177527127025117,0.3777112549650852,28.7112212251,4031.0,11.2,3.4,296283.9616924914
2254,31.93654258548875,76.77378301,45103.0,0.3287928171699157,0.0424635631264989,0.0045815140520263,0.5992558883217515,16.7136150235,1398.0,9.6,5.2,151813.00401710908
2255,9.715489623954557,28.9532294,70580.0,0.8276575042568718,0.0038919970810021,0.0043784967161274,0.1270980296764777,21.6411340025,1893.0,9.4,3.6,219808.9963870504
2256,61.91060982800877,83.80528158,56424.0,0.8346641532250894,0.0540093542707759,0.0070957301132827,0.0607671924739023,18.74637872,2007.0,23.2,5.1,228998.5467286662
2257,2632.4751717521003,99.96818326,73862.0,0.2768025499112794,0.1871675883956209,0.0728707321377806,0.4300669288301246,32.5262684457,4168.0,8.6,4.3,251136.40981200532
2258,74.21095201218978,74.2602609,50269.0,0.6106858031057976,0.1953543776057177,0.0070163715335783,0.1429277008672409,21.1244768728,1769.0,8.5,4.5,224558.39541142297
2259,5.888290515528194,23.13076678,53538.0,0.6698670605612999,0.0334194977843426,0.0040620384047267,0.2542466765140325,17.6949330533,865.0,6.1,3.6,135246.45507273756
2260,351.1974741480958,93.9230035,64671.0,0.5042913380927294,0.0373506120705032,0.0200027378280726,0.3852497438471462,38.6736455103,6198.0,8.6,3.2,356204.41124239936
2261,85.57530036725578,73.65574292,52297.0,0.7529397443700547,0.057273280584297,0.006208155812538,0.1368472306755934,18.2067053626,1725.0,16.2,4.8,283951.7432867606
2262,543.8639043420092,98.75914731,34373.0,0.0612530590355095,0.0038631986687812,0.0098807851802003,0.9187166463209464,19.4916552455,2047.0,9.2,6.2,182979.80762330847
